#node coordinate	computed solution	exact solution
0               		0		0
0.01            		-5.00025e-05		-5.00013e-05
0.02            		-0.000200025		-0.00020002
0.03            		-0.000450113		-0.000450101
0.04            		-0.00080034		-0.00080032
0.05            		-0.00125081		-0.00125078
0.06            		-0.00180167		-0.00180162
0.07            		-0.00245307		-0.00245301
0.08            		-0.00320521		-0.00320513
0.09            		-0.00405833		-0.00405822
0.1             		-0.00501267		-0.00501254
0.11            		-0.00606853		-0.00606838
0.12            		-0.00722623		-0.00722605
0.13            		-0.00848612		-0.0084859
0.14            		-0.00984858		-0.00984834
0.15            		-0.011314		-0.0113138
0.16            		-0.012883		-0.0128826
0.17            		-0.0145558		-0.0145554
0.18            		-0.0163331		-0.0163327
0.19            		-0.0182153		-0.0182149
0.2             		-0.0202032		-0.0202027
0.21            		-0.0222973		-0.0222967
0.22            		-0.0244983		-0.0244976
0.23            		-0.0268068		-0.0268061
0.24            		-0.0292236		-0.0292229
0.25            		-0.0317495		-0.0317487
0.26            		-0.0343853		-0.0343844
0.27            		-0.0371318		-0.0371309
0.28            		-0.03999		-0.039989
0.29            		-0.0429608		-0.0429597
0.3             		-0.0460451		-0.0460439
0.31            		-0.049244		-0.0492428
0.32            		-0.0525586		-0.0525573
0.33            		-0.05599		-0.0559885
0.34            		-0.0595393		-0.0595377
0.35            		-0.0632078		-0.0632061
0.36            		-0.0669967		-0.0669949
0.37            		-0.0709073		-0.0709054
0.38            		-0.0749411		-0.0749391
0.39            		-0.0790995		-0.0790973
0.4             		-0.0833839		-0.0833816
0.41            		-0.087796		-0.0877935
0.42            		-0.0923372		-0.0923346
0.43            		-0.0970094		-0.0970066
0.44            		-0.101814		-0.101811
0.45            		-0.106753		-0.10675
0.46            		-0.111829		-0.111826
0.47            		-0.117043		-0.11704
0.48            		-0.122397		-0.122394
0.49            		-0.127894		-0.12789
0.5             		-0.133535		-0.133531
0.51            		-0.139324		-0.13932
0.52            		-0.145262		-0.145257
0.53            		-0.151351		-0.151346
0.54            		-0.157595		-0.15759
0.55            		-0.163996		-0.163991
0.56            		-0.170557		-0.170551
0.57            		-0.17728		-0.177274
0.58            		-0.184169		-0.184163
0.59            		-0.191228		-0.191221
0.6             		-0.198458		-0.198451
0.61            		-0.205864		-0.205856
0.62            		-0.213448		-0.213441
0.63            		-0.221216		-0.221208
0.64            		-0.22917		-0.229162
0.65            		-0.237315		-0.237306
0.66            		-0.245654		-0.245645
0.67            		-0.254192		-0.254183
0.68            		-0.262935		-0.262924
0.69            		-0.271885		-0.271874
0.7             		-0.281049		-0.281038
0.71            		-0.290431		-0.290419
0.72            		-0.300037		-0.300025
0.73            		-0.309872		-0.30986
0.74            		-0.319943		-0.31993
0.75            		-0.330256		-0.330242
0.76            		-0.340817		-0.340802
0.77            		-0.351632		-0.351616
0.78            		-0.36271		-0.362693
0.79            		-0.374056		-0.374039
0.8             		-0.385681		-0.385662
0.81            		-0.397591		-0.397571
0.82            		-0.409795		-0.409774
0.83            		-0.422302		-0.422281
0.84            		-0.435122		-0.4351
0.85            		-0.448266		-0.448242
0.86            		-0.461743		-0.461718
0.87            		-0.475565		-0.475539
0.88            		-0.489744		-0.489717
0.89            		-0.504293		-0.504264
0.9             		-0.519225		-0.519194
0.91            		-0.534553		-0.534521
0.92            		-0.550294		-0.55026
0.93            		-0.566463		-0.566426
0.94            		-0.583076		-0.583038
0.95            		-0.600153		-0.600112
0.96            		-0.617712		-0.617669
0.97            		-0.635773		-0.635728
0.98            		-0.65436		-0.654311
0.99            		-0.673494		-0.673443
1               		-0.693202		-0.693147
